Move Range,K,Q,R,B,N,P
1-20,4.41,6.76,1.18,19.12,25.29,43.24
21-40,10.30,13.94,8.48,19.09,21.82,26.36
41-60,13.74,14.89,28.63,8.40,15.65,18.70
61-80,16.20,7.75,25.35,7.04,21.13,22.54
81-100,3.33,30.00,20.00,20.00,13.33,13.33
101-120,20.00,60.00,0.00,0.00,20.00,0.00
121-140,0.00,0.00,0.00,0.00,0.00,0.00
141-160,0.00,0.00,0.00,0.00,0.00,0.00
161-180,0.00,0.00,0.00,0.00,0.00,0.00
181-200,0.00,0.00,0.00,0.00,0.00,0.00
201-220,0.00,0.00,0.00,0.00,0.00,0.00
221-240,0.00,0.00,0.00,0.00,0.00,0.00
241-260,0.00,0.00,0.00,0.00,0.00,0.00
