Move Range,K,Q,R,B,N,P
1-20,5.93,5.38,1.46,18.61,25.43,43.18
21-40,5.61,13.44,14.46,19.76,21.13,25.60
41-60,7.88,14.11,27.12,13.72,16.26,20.92
61-80,18.30,9.33,29.63,10.88,11.76,20.10
81-100,27.71,4.48,29.47,8.69,10.49,19.15
101-120,37.64,2.45,26.52,9.91,9.27,14.21
121-140,43.37,3.37,24.78,7.74,9.02,11.72
141-160,48.44,1.09,26.41,7.19,5.78,11.09
161-180,42.26,4.53,27.17,8.68,7.17,10.19
181-200,34.67,1.33,21.33,9.33,18.67,14.67
201-220,39.13,0.00,43.48,0.00,17.39,0.00
221-240,40.00,0.00,40.00,0.00,20.00,0.00
241-260,0.00,0.00,66.67,0.00,33.33,0.00
